2026-04-24 15:20:03 INFO     Starting simulation...
2026-04-24 15:20:34 INFO      Propagating wavelength = 1.59885e-06 m
2026-04-24 15:20:35 INFO      Propagating wavelength = 1.63955e-06 m
2026-04-24 15:20:37 INFO      Propagating wavelength = 1.68025e-06 m
2026-04-24 15:20:38 INFO      Propagating wavelength = 1.72095e-06 m
2026-04-24 15:20:40 INFO      Propagating wavelength = 1.76165e-06 m
2026-04-24 15:20:41 INFO       Calculation completed in 26.065 s
2026-04-24 15:20:41 INFO     PSF Calculation completed.
2026-04-24 15:20:41 INFO     Calculating jitter using gaussian
2026-04-24 15:20:41 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:20:41 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 15:20:41 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:20:41 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:20:41 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:20:41 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:20:41 INFO     Creating PSF using stpsf
2026-04-24 15:20:42 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:20:42 INFO     Using pupil mask 'F062' and detector 'WFI18'.
2026-04-24 15:20:42 INFO     Using pupil mask 'F158' and detector 'WFI18'.
2026-04-24 15:20:42 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:20:42 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:20:42 INFO     Using pupil mask 'F158' and detector 'WFI18'.
2026-04-24 15:20:42 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 15:20:42 INFO     Creating optical system model:
2026-04-24 15:20:42 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 15:20:42 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI18.fits.gz
2026-04-24 15:20:42 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 15:20:42 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 15:20:42 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 15:20:42 INFO     Added pupil plane: Field Dependent Aberration (WFI18)
2026-04-24 15:20:42 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 15:20:42 INFO     Calculating PSF with 10 wavelengths
2026-04-24 15:20:42 INFO      Propagating wavelength = 1.39535e-06 m
2026-04-24 15:20:44 INFO      Propagating wavelength = 1.43605e-06 m
2026-04-24 15:20:45 INFO      Propagating wavelength = 1.47675e-06 m
2026-04-24 15:20:47 INFO      Propagating wavelength = 1.51745e-06 m
2026-04-24 15:20:48 INFO      Propagating wavelength = 1.55815e-06 m
2026-04-24 15:20:50 INFO      Propagating wavelength = 1.59885e-06 m
2026-04-24 15:20:51 INFO      Propagating wavelength = 1.63955e-06 m
2026-04-24 15:20:53 INFO      Propagating wavelength = 1.68025e-06 m
2026-04-24 15:20:54 INFO      Propagating wavelength = 1.72095e-06 m
2026-04-24 15:20:56 INFO      Propagating wavelength = 1.76165e-06 m
2026-04-24 15:20:57 INFO       Calculation completed in 15.100 s
2026-04-24 15:20:57 INFO     PSF Calculation completed.
2026-04-24 15:20:57 INFO     Calculating jitter using gaussian
2026-04-24 15:20:57 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:20:57 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 15:20:57 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:20:57 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:20:57 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:20:57 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:20:57 INFO     Creating PSF using stpsf
2026-04-24 15:20:58 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:20:58 INFO     Using pupil mask 'F062' and detector 'WFI18'.
2026-04-24 15:20:58 INFO     Using pupil mask 'F158' and detector 'WFI18'.
2026-04-24 15:20:58 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:20:58 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:20:58 INFO     Using pupil mask 'F158' and detector 'WFI18'.
2026-04-24 15:20:58 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 15:20:58 INFO     Creating optical system model:
2026-04-24 15:20:58 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 15:20:58 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI18.fits.gz
2026-04-24 15:20:58 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 15:20:58 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 15:20:58 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 15:20:58 INFO     Added pupil plane: Field Dependent Aberration (WFI18)
2026-04-24 15:20:58 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 15:20:58 INFO     Calculating PSF with 10 wavelengths
2026-04-24 15:20:58 INFO      Propagating wavelength = 1.39535e-06 m
2026-04-24 15:21:00 INFO      Propagating wavelength = 1.43605e-06 m
2026-04-24 15:21:01 INFO      Propagating wavelength = 1.47675e-06 m
2026-04-24 15:21:03 INFO      Propagating wavelength = 1.51745e-06 m
2026-04-24 15:21:04 INFO      Propagating wavelength = 1.55815e-06 m
2026-04-24 15:21:06 INFO      Propagating wavelength = 1.59885e-06 m
2026-04-24 15:21:07 INFO      Propagating wavelength = 1.63955e-06 m
2026-04-24 15:21:09 INFO      Propagating wavelength = 1.68025e-06 m
2026-04-24 15:21:10 INFO      Propagating wavelength = 1.72095e-06 m
2026-04-24 15:21:12 INFO      Propagating wavelength = 1.76165e-06 m
2026-04-24 15:21:13 INFO       Calculation completed in 15.047 s
2026-04-24 15:21:13 INFO     PSF Calculation completed.
2026-04-24 15:21:13 INFO     Calculating jitter using gaussian
2026-04-24 15:21:13 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:21:13 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 15:21:13 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:21:13 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:21:13 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:21:13 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:21:13 INFO     Creating PSF using stpsf
2026-04-24 15:21:14 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 15:21:14 INFO     Using pupil mask 'F062' and detector 'WFI18'.
2026-04-24 15:21:14 INFO     Using pupil mask 'F158' and detector 'WFI18'.
2026-04-24 15:21:14 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 15:21:14 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 15:21:14 INFO     Using pupil mask 'F158' and detector 'WFI18'.
2026-04-24 15:21:14 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 15:21:14 INFO     Creating optical system model:
2026-04-24 15:21:14 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 15:21:14 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI18.fits.gz
2026-04-24 15:21:14 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 15:21:14 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 15:21:14 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 15:21:14 INFO     Added pupil plane: Field Dependent Aberration (WFI18)
2026-04-24 15:21:14 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 15:21:14 INFO     Calculating PSF with 10 wavelengths
2026-04-24 15:21:14 INFO      Propagating wavelength = 1.39535e-06 m
2026-04-24 15:21:16 INFO      Propagating wavelength = 1.43605e-06 m
2026-04-24 15:21:17 INFO      Propagating wavelength = 1.47675e-06 m
2026-04-24 15:21:19 INFO      Propagating wavelength = 1.51745e-06 m
2026-04-24 15:21:20 INFO      Propagating wavelength = 1.55815e-06 m
2026-04-24 15:21:22 INFO      Propagating wavelength = 1.59885e-06 m
2026-04-24 15:21:23 INFO      Propagating wavelength = 1.63955e-06 m
2026-04-24 15:21:25 INFO      Propagating wavelength = 1.68025e-06 m
2026-04-24 15:21:26 INFO      Propagating wavelength = 1.72095e-06 m
2026-04-24 15:21:28 INFO      Propagating wavelength = 1.76165e-06 m
2026-04-24 15:21:30 INFO       Calculation completed in 15.140 s
2026-04-24 15:21:30 INFO     PSF Calculation completed.
2026-04-24 15:21:30 INFO     Calculating jitter using gaussian
2026-04-24 15:21:30 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 15:21:30 INFO             resulting image peak drops to 0.972 of its previous value
2026-04-24 15:21:30 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 15:21:30 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 15:21:30 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:21:30 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 15:21:43 WARNING  max(qe) > 1.1; this seems weird?!
2026-04-24 15:21:43 WARNING  Found 344 pixels with implied qe > 2; clipping these to qe 2
2026-04-24 15:21:43 INFO     Adding 338 sources to image...
2026-04-24 15:21:58 INFO     Rendered 170 point sources in 0.0584 seconds
2026-04-24 15:21:58 INFO     Rendered 338 total sources in 5.25 seconds
2026-04-24 15:22:03 INFO     Apportioning electrons to resultants...
/home/np274/roman_l2_job/.pixi/envs/default/lib/python3.12/site-packages/romanisim/persistence.py:252: RuntimeWarning: invalid value encountered in power
  * (x / x0)**alpha * (dt / 1000)**(-gamma))
2026-04-24 15:24:38 INFO     Adding IPC...
2026-04-24 15:24:57 INFO     Adding read noise...
2026-04-24 15:25:33 INFO     Fitting ramps.
2026-04-24 15:25:46 INFO     Simulation complete.
